operator_name,country,city,cargo_aircraft_count,fleet_count,priority,enrichment_status,website,phone,address,profile_url,source,base_icao,aircraft_types
AIR FLAMENCO,Puerto Rico,San Juan,4,15,high,pending,https://booking.flyairflamenco.com/,787-724-1818 (,"CALLE LINDBERGH LOTE 7, SAN JUAN, Puerto Rico, Email:",https://www.aircharterguide.com/Operator_Info/AIR+FLAMENCO/100330/San+Juan/70964,ACG,TJSJ,BN-2A-26 (ISLANDER)|BN-2A-26 Islander|BN-2A-8 Islander|BN-2A-9 Islander|BN-2A-MKIII (TRI-ISLANDER)|BN-2B-26 Islander|SD3-30 (SHERPA)|SD3-60
AIR LIBYA,Libya,Benghazi,2,17,medium,pending,https://airlibya.aero/en/,218 61 224-0825,"GAMAL ABDEL NASSER STR, BIRKA - PO BOX 17791, BENGHAZI, Libya",https://www.aircharterguide.com/Operator_Info/AIR+LIBYA/101004/Benghazi/71792,ACG,HLLB,146-200|737-505|Avro RJ100|BAE-146-200|BAE-146/RJ100 (AVRO)|CRJ-200 (REGIONAL JET)|CRJ-200LR|G300|RJ100
"AIR TINDI, LTD.",Canada,Saskatoon,1,33,medium,pending,https://airtindi.com/,+18676698200; +18676698205; +18676698206; +18676698219; +18885456794; 867-669-8200,"107 BERRY ST., HANGER #1, YELLOWKNIFE ARPT., YELLOWKNIFE, NT, Canada","https://www.aircharterguide.com/Operator_Info/AIR+TINDI,+LTD./274/Saskatoon/284",ACG,CYZF,200 (Beech)|208 (Cessna)|208B (Cessna)|B200C (Beech)|B200GT (Beech)|BE-200 (SUPER KING AIR)|CE-208 (CARAVAN I)|DHC-3 (Dehavilland)|DHC-3T (TURBO OTTER)|DHC-6 SERIES 300 (Dehavilland)|DHC-6-300 (TWIN OTTER)|DHC-7 (DASH 7)|DHC-7-102 (Dehavilland)|DHC-7-103 (Dehavilland)|King Air B200
"AIR TRANSPORT INTERNATIONAL, LLC",United States,Cincinnati,2,2,medium,pending,https://www.airtransport.cc/,+18008662844; 937-382-5591,"WILMINGTON AIRPARK, 145 HUNTER DRIVE, WILMINGTON, OH, United States","https://www.aircharterguide.com/Operator_Info/AIR+TRANSPORT+INTERNATIONAL,+LLC/1698/Cincinnati/1877",ACG,KCVG,B-767-200|B-767-300
AIR URGA,Ukraine,Kryvyi Rih,3,9,high,pending,,380 522 353504,"KOROLENKA STR. 1-A, KROPYVNYTSKYI, Ukraine, Fax: 380 522 353 505",https://www.aircharterguide.com/Operator_Info/AIR+URGA/97289/Kryvyi+Rih/66752,ACG,UKDR,340 B|340B|An-26B|SF-340
AIR-TAXI EUROPE GMBH,Germany,Hannover,4,7,high,pending,https://www.air-taxi.aero/en/,+491802478294; 49 180 2478294,"PETZVALSTR. 49, BRAUNSCHWEIG, Germany, Fax: 49 531 428 70259",https://www.aircharterguide.com/Operator_Info/AIR-TAXI+EUROPE+GMBH/96640/Hannover/65953,ACG,EDDV,CE-406 (CARAVAN II)|Cessna F406 Caravan II|F406 Caravan II
AIRCLASS LINEAS AEREAS,Uruguay,Montevideo,4,5,high,pending,,598 2 6040315,"AVENIDA ITALIA, MONTEVIDEO, Uruguay, Email:",https://www.aircharterguide.com/Operator_Info/AIRCLASS+LINEAS+AEREAS/92439/Montevideo/64755,ACG,SUMU,B-727F (BOEING 727)|SW-227AC. (METRO III)|SW-227AT (MERLIN IVC-41)
"AIRCRAFT SERVICES GROUP, INC.",United States,Bedford,1,13,medium,pending,,973-864-6200,"401 INDUSTRIAL Dr., TETERBORO, NJ, United States, Email:","https://www.aircharterguide.com/Operator_Info/AIRCRAFT+SERVICES+GROUP,+INC./2427/Bedford/2666",ACG,KHPN,BD-100-1A10 (CHALLENGER 300)|BE-300B (SUPER KING AIR)|CE-525C (CITATION JET 4)|CL-650 (CHALLENGER 650)|DA-2000EX EASY|EMB-135BJ (LEGACY)|EMB-505 (PHENOM 300)|G-200 (GULFSTREAM 200)
AIRGATE AVIATION,United States,New Smyrna Beach,1,5,medium,pending,,+18009177403; 386-478-0600,"2022 AERO CIRCLE, NEW SMYRNA BEACH, FL, United States, Fax: 386-409-0441",https://www.aircharterguide.com/Operator_Info/AIRGATE+AVIATION/97197/New+Smyrna+Beach/66620,ACG,KEVB,BE-200 (SUPER KING AIR)|BE-B200 (SUPER KING AIR)|CE-414A (CHANCELLOR)
AIRNET II LLC,United States,Columbus,20,20,high,pending,,614-409-4900,"7250 STAR CHECK DRIVE, COLUMBUS, OH, United States, Fax: 888-999-2374",https://www.aircharterguide.com/Operator_Info/AIRNET+II+LLC/844/Columbus/913,ACG,KLCK,BE-58 (BARON)|LR-35 (LEARJET 35)|LR-35A (LEARJET 35A)
ALASKA BUSH AIR,United States,Talkeetna,1,1,medium,pending,https://www.bushairak.com/,+12015960785; +12352141355; +12545352419; +13097865384; +13372578893; +13537389287; +14065938431; +18292770000; 907-733-1693,"FISH LAKE OFFICE, 28525 S. TALKEETNA SPUR RD., TALKEETNA, AK, United States",https://www.aircharterguide.com/Operator_Info/ALASKA+BUSH+AIR/96152/Talkeetna/65321,ACG,PATK,CE-U206 (STATIONAIRE SIX)
ALASKA CENTRAL EXPRESS,United States,Anchorage,12,20,high,pending,http://alaskacentralexpress.com/,907-334-5100,"5901 LOCKHEED DR., ANCHORAGE, AK, United States, Fax: 907-245-0243",https://www.aircharterguide.com/Operator_Info/ALASKA+CENTRAL+EXPRESS/2452/Anchorage/2700,ACG,PANC,BE-1900C (COMMUTER)
ALFALIMA AVIATION (AS AGENT FOR PT ALTIUS BAHARI),Indonesia,Jakarta,1,1,medium,pending,,62 812 9821 4649,"GRAHA DIRGANTARA 2ND FLOOR UNIT H, JL. PROTOKOL HALIM PERDANAKUSUMA NO. 8, JAKARTA TIMUR, Indonesia",https://www.aircharterguide.com/Operator_Info/ALFALIMA+AVIATION+(AS+AGENT+FOR+PT+ALTIUS+BAHARI)/100955/Jakarta/71727,ACG,WIHH,HS-125-900XP
ALMASRIA UNIVERSAL AIRLINES,Egypt,Cairo,4,17,high,pending,https://almasriaairlines.com/,202 226 99456,"UNIVERSAL AIRLINES BLDG., TERMINAL 1 HELIOPLIES, CAIRO, Egypt",https://www.aircharterguide.com/Operator_Info/ALMASRIA+UNIVERSAL+AIRLINES/98905/Cairo/68695,ACG,HECA,737-446|A320-200|A320-232|A321-211|A321-231|Airbus A320-232|Airbus A321 211|B-737-400
ALPI JETS,Austria,Vienna,3,4,high,pending,https://alpijets.com/,43 664-6123905,"CONCORDE BUSINESS PARK 1/C2/13, SCHWECHAT, Austria, Email:",https://www.aircharterguide.com/Operator_Info/ALPI+JETS/100242/Vienna/70871,ACG,LOWW,EMB-505 (PHENOM 300)|G-450 (G-450)|PC-24
ALTIUS AVIATION LLC,United States,Binghamton,2,6,medium,pending,,315-455-7555,"113 TUSKEGEE RD., SYRACUSE, NY, United States, Fax: 315-455-7557",https://www.aircharterguide.com/Operator_Info/ALTIUS+AVIATION+LLC/98937/Binghamton/68730,ACG,KSYR,CE-680 (CITATION SOVEREIGN)|LR-45 (LEARJET 45)|LR-60 (LEARJET 60)|LR-60XR (LEARJET 60)
"AMERIFLIGHT, LLC",United States,Burbank,8,135,high,pending,,818-847-0000,"1515 W. 20TH ST., DALLAS, TX, United States, Fax: 818-847-0305","https://www.aircharterguide.com/Operator_Info/AMERIFLIGHT,+LLC/1737/Burbank/1922",ACG,KBUR,1900|1900C|340B(F)|99 Airliner|99A Airliner|B99 Airliner|BE-C99 (AIRLINER)|Beech 99 C|C99 Airliner|Chieftain|EMB-120ER|EMB-120ER (BRASILIA)|EMB-120ER Brasilia|EMB-120FC|EMB-120RT|Metro III|Navajo Chieftain|SF-340B (COMMUTER)|SW-227AC (METRO III/EXPEDITOR)|SW-227AT (MERLIN IVC-41)|Swearingen Merlin I
AMERIJET INTERNATIONAL,United States,Miami,11,17,high,pending,,305-593-5500,"4500 NW 36th Street, MIAMI, FL, United States, Email:",https://www.aircharterguide.com/Operator_Info/AMERIJET+INTERNATIONAL/2056/Miami/2272,ACG,KMIA,727 212F/W|727 233F/W|727-2F9|767 232BDSF|767-338|B-767-300
"AMERISTAR JET CHARTER, INC.",United States,Dallas,11,16,high,pending,http://ameristarjet.com/,972-248-2478,"4400 GLEN CURTIS DR., ADDISON, TX, United States, Fax: 972-931-6011","https://www.aircharterguide.com/Operator_Info/AMERISTAR+JET+CHARTER,+INC./1564/Dallas/1729",ACG,KADS,B-737-200 VIP|BE-E90 (KING AIR)|DA-20 (FALCON 20)|DA-20-D (FALCON 20)|DA-20-E (FALCON 20)|DC-9|Falcon 20 C|Falcon 20 D|Learjet 25 D
ARCUS-AIR GMBH & CO.KG,Germany,Zweibrucken,9,9,high,pending,https://arcus-air.com/en/,+491775533838; +491776426470; +491776599165; +491776685813; +498240740740; +499159911727; +499211286680; 49 2241 952516,"BERLINER ALLEE 31, ZWEIBRUECKEN, Germany, Fax: 49 2241-952531",https://www.aircharterguide.com/Operator_Info/ARCUS-AIR+GMBH+&+CO.KG/1050/Zweibrucken/1137,ACG,EDRZ,DO-228-212|EMB-500 (PHENOM 100)
"ARM AVIACION, S.A.",Guatemala,Guatemala City,2,5,medium,pending,https://armaviacion.com/,502 24182727,"AURORA INTL. ARPT., AVE. HINCAPIE, 18-05 Z. 13 HANGAR K2, GUATEMALA, Guatemala","https://www.aircharterguide.com/Operator_Info/ARM+AVIACION,+S.A./96991/Guatemala+City/66359",ACG,MGGT,AC-500 (AERO COMMANDER)|BE-55 (BARON)|CE-208B (GRAND CARAVAN)|DHC-6-300 (TWIN OTTER)
ARROW AVIATION LTD,Israel,Tel Aviv,2,3,medium,pending,https://www.arrowaviationco.com/,972 3 9661882,"11 HADAS ST, RISHON LEZION, Israel, Fax: 972 3 9661880",https://www.aircharterguide.com/Operator_Info/ARROW+AVIATION+LTD/99368/Tel+Aviv/69339,ACG,LLBG,CE-560 (CITATION V)|HS-125-800XP (HAWKER 800XP)
ASIA CARGO AIRLINES (PT.TRI-M.G AIRLINES),Indonesia,Jakarta,3,7,high,pending,,62 21 8087 2119,"JB TOWER, JL. KEBON SIRIH, NO.48-50 KEL GAMBIR, KEC GAMBIR, JAKARTA PUSAT, Indonesia",https://www.aircharterguide.com/Operator_Info/ASIA+CARGO+AIRLINES+(PT.TRI-M.G+AIRLINES)/99569/Jakarta/69560,ACG,WIHH,B-737-300F|BE-400A (BEECHJET)|HS-125-800XP (HAWKER 800XP)|HS-125-900XP
ATD FLIGHT SYSTEMS LLC,United States,Kansas City,1,2,medium,pending,https://atdflightsystems.com/,816 221 8455,"10 RICHARDS RD. NW, KANSAS CITY, MO, United States, Fax: 816 221 8470",https://www.aircharterguide.com/Operator_Info/ATD+FLIGHT+SYSTEMS+LLC/97226/Kansas+City/66686,ACG,KMKC,CE-560-XLS (CITATION XLS)|CE-560-XLS+ (Citation XLS+)
AVIAIR,Australia,Kununurra,2,14,medium,pending,https://www.aviair.com,+61223337494; +61249938964; +61269720184; +61357043517; +61380571058; +61384615384; +61391505937; +61452898550; +61875474486; +61898591230; 61 8 9166 9300,"LOT 319 LAINE JONES DR, KUNUNURRA AIRPORT, KUNUNURRA, Australia",https://www.aircharterguide.com/Operator_Info/AVIAIR/99513/Kununurra/69502,ACG,YPKU,CE-208B (GRAND CARAVAN)|DHC-8-400 (DASH 8-400)|GA-8 (AIRVAN)|PC-12-45 (PILATUS)
AVIANCA CARGO,United States,Miami,5,160,high,pending,https://www.aviancacargo.com/index.aspx,57 601 589 8532,"DIAGONAL 25G#95A-85, BOGOTA, Colombia, Email:",https://www.aircharterguide.com/Operator_Info/AVIANCA+CARGO/2258/Miami/2487,ACG,KMIA,787-8 Dreamliner|A319-115|A319-132|A320-214|A320-251N|A330|A330-243F
"AVIATION CHARTER, INC.",United States,Minneapolis,4,11,high,pending,,952-943-1519,"9960 FLYING CLOUD DR., EDEN PRAIRIE, MN, United States, Fax: 952-995-9274","https://www.aircharterguide.com/Operator_Info/AVIATION+CHARTER,+INC./567/Minneapolis/601",ACG,KFCM,BE-200 (SUPER KING AIR)|BE-400A (BEECHJET)|BE-B200 (SUPER KING AIR)|BE-C90 (KING AIR)|CE-650 III (CITATION III)
AVIATION RESOURCE MANAGEMENT,United States,Teterboro,1,1,medium,pending,,201-485-7875,"109 CHARLES LINDBERGH DRIVE, TETERBORO, NJ, United States, Fax: 201-485-7879",https://www.aircharterguide.com/Operator_Info/AVIATION+RESOURCE+MANAGEMENT/1836/Teterboro/2031,ACG,KTEB,BD-5000-1A10 (GLOBAL 5000)
BAY AIR AVIATION,Namibia,Swakopmund,3,7,high,pending,https://www.bay-air.com/,+18149294263; 264 61-256745,"OLD TERMINAL BUILDING, EROS AIRPORT, WINDHOEK, Namibia",https://www.aircharterguide.com/Operator_Info/BAY+AIR+AVIATION/10/Swakopmund/3,ACG,FYSM,CE-210|CE-500 (CITATION I)|MU-2
BERRY AVIATION,United States,Akron,17,33,high,pending,https://www.berryaviation.com/,+18002292379; 512-392-7279,"1807 AIRPORT DR., SAN MARCOS, TX, United States, Fax: 940-218-6129",https://www.aircharterguide.com/Operator_Info/BERRY+AVIATION/1588/Akron/1754,ACG,KCAK,340B|B300|DHC-6-300|DHC-6-300 (TWIN OTTER)|DHC-6-300 Twin Otter|DHC-8 202|DHC-8-200Q (DASH 8 200Q)|DHC-8-202Q (HAVILLAND)|EMB-120ER|EMB-120ER (BRASILIA)|GERY HAWK|Metro III|T206H
BRAVO AIR,United States,Augusta,2,4,medium,pending,,800-733-5417,"1520 HANGAR ROAD, AUGUSTA, GA, United States, Email:",https://www.aircharterguide.com/Operator_Info/BRAVO+AIR/100341/Augusta/70995,ACG,KAGS,BE-58 (BARON)|CE-560 (CITATION V)|CE-560-E (CITATION ENCORE)|CE-650-VI (CITATION VI)
BREEZE AIR CHARTERS,Virgin Islands (U.S.),St. Thomas,2,2,medium,pending,,340-693-4547,"8201 LINDBERGH BAY, CHARLOTTE AMALIE, Virgin Islands (U.S.), Email:",https://www.aircharterguide.com/Operator_Info/BREEZE+AIR+CHARTERS/100507/St.+Thomas/71194,ACG,TIST,PA-23 (AZTEC)|PC-12-47E (PILATUS)
CALM AIR,Canada,Winnipeg,4,15,high,pending,https://www.calmair.com/,+12046247220; +12046522603; +12046758843; +12046758858; +12046770454; +12046877453; +12049566101; +18008392256; +18674624378; +18676452729; +18676452746; +18676452900; +18677932873; +18677935144; +18678572997; +18678969310; +18678989103; +18679259767; 888-831-8472,"50 MORBERG RD., WINNIPEG, MB, Canada, Fax: 204-778-6954",https://www.aircharterguide.com/Operator_Info/CALM+AIR/99600/Winnipeg/69593,ACG,CYWG,AS-ATR42-300|AS-ATR72|AS-ATR72-500|ATR 72-500
CARGOLUX AIRLINES INTERNATIONAL S.A.,Luxembourg,Luxembourg,21,51,high,pending,,+3524211; 352 4211-3305,"LUXEMBOURG ARPT., G.D. LUXEMBOURG, Luxembourg, Fax: 352 4211-3423",https://www.aircharterguide.com/Operator_Info/CARGOLUX+AIRLINES+INTERNATIONAL+S.A./939/Luxembourg/1015,ACG,ELLX,747-467F|747-4EVF(ER)|747-4HAF(ER)|747-4HQF(ER)|747-4R7F|747-8R7F|B-747|B-747-400ERF|B-747-400F (BOEING)
CARRIER AIRWAYS INC,United States,Greeneville,3,3,high,pending,https://carrierairways.com/,615-625-2660,"276 DOUG WARPOOLE ROAD, SMYRNA, TN, United States, Email:",https://www.aircharterguide.com/Operator_Info/CARRIER+AIRWAYS+INC/99044/Greeneville/68864,ACG,KMQY,BAE-3101 (JETSTREAM)|BE-400A (BEECHJET)
"CASTLE AVIATION, INC.",United States,Akron,11,18,high,pending,,330-498-9333 EXT. 1,"AKRON CANTON AIRPORT, 4919 MT. PLEASANT STREET NW, NORTH CANTON, OH, United States","https://www.aircharterguide.com/Operator_Info/CASTLE+AVIATION,+INC./978/Akron/1054",ACG,KCAK,208 B|AEROSTAR 600|C23|CE-208B (GRAND CARAVAN)|PA-60-600 (AEROSTAR)|SA-226AT|SF-340B (COMMUTER)|T-34A
CAVOK AIR AIRLINES,Slovakia,Piestany,4,5,high,pending,,380 44 5008306,"3 OBOLONSKY NABEREZHNA, BOX 3, SECTION 1, OFFICE 2, KIEV, Ukraine",https://www.aircharterguide.com/Operator_Info/CAVOK+AIR+AIRLINES/98600/Piestany/68320,ACG,LZPP,AN-12B|AN-12BP|Antonov An-12BK
CENTRAL AIR SOUTHWEST,United States,Mosby,25,27,high,pending,https://centralairsouthwest.com/,816-472-7711,"1001 LOU HOLLAND DR., KANSAS CITY, MO, United States, Fax: 816-474-7444",https://www.aircharterguide.com/Operator_Info/CENTRAL+AIR+SOUTHWEST/2488/Mosby/2739,ACG,KGPH,Commander 500-B|GC-500B (AERO COMMANDER)|LR-35A (LEARJET 35A)
CENTRAL HELICOPTER SERVICE,Japan,Toyama,1,37,medium,pending,,81 5 6839 1170,"1-1, HAYASHISAKI, TOYOBA, TOYOYAMA - CHO NISHIKASUGAI-GUN, AICHI, Japan, Email:",https://www.aircharterguide.com/Operator_Info/CENTRAL+HELICOPTER+SERVICE/100932/Toyama/71702,ACG,RJNT,150M|172N|172RG|206H|210B|35A|425|500-B|500-S|500-U|58|737-86N(BCF)|737-8Z9(BCF)|777-F|777-F1H|B200|BK-117|DA 40|DA20-C1|PA-34-200T|PC-24|PC-XII 47E
CENTRAL MOUNTAIN AIR,Canada,Hamilton,8,39,high,pending,https://www.centralmountain.com,866-731-7992,"6431 AIRPORT RD., SMITHERS, BC, Canada, Fax: 250 847 3744",https://www.aircharterguide.com/Operator_Info/CENTRAL+MOUNTAIN+AIR/96050/Hamilton/65136,ACG,CYHM,1900D (Beech)|BE-1900 (COMMUTER)|BE-1900D (COMMUTER)|DHC-8-100 (DASH 8)|DHC-8-102 (Dehavilland)|DHC-8-300 (DASH 8-300)|DHC-8-311 (Dehavilland)|DO-328|DORNIER 328-100 (Dornier)|De Havilland Canada Dash 8-100|De Havilland Canada Dash 8-300|PA-31-350 (Piper)|R44 (Robinson)
CHALLENGE AIRLINES ,Belgium,Liege,10,10,high,pending,,356 2713 7174,"LEVEL 5, SKYPARKS, BUSINESS CENTRE, MALTA INTL AIRPORT, LUQA, Malta",https://www.aircharterguide.com/Operator_Info/CHALLENGE+AIRLINES+/96277/Liege/65468,ACG,EBLG,B-747-400|B-747-400ERF|B-747-400F (BOEING)|B-767-300
CLEMSON AIR CHARTER LLC,United States,Anderson,1,2,medium,pending,https://clemsonair.com/,+18642767047; 864-276-7047,"5805 AIRPORT ROAD, ANDERSON, SC, United States, Email:",https://www.aircharterguide.com/Operator_Info/CLEMSON+AIR+CHARTER+LLC/100262/Anderson/70891,ACG,KAND,BE-58 (BARON)
DALLAS AERO & SALES,United States,Poplar,2,2,medium,pending,http://www.dallasaero.com/,+14067683800; 406-768-3800,"POPLAR ARPT., 128 AIRPORT RD., POPLAR, MT, United States",https://www.aircharterguide.com/Operator_Info/DALLAS+AERO+&+SALES/1605/Poplar/1771,ACG,PO1 ,CE-310Q (CESSNA 310)|CE-421C (GOLDEN EAGLE)
"DAVISAIR, INC.",United States,Charleston,1,6,medium,pending,,843-406-6800,"CHARLESTON INT'L ARPT., 6060 S. AVIATION AVE, N. CHARLESTON, SC, United States","https://www.aircharterguide.com/Operator_Info/DAVISAIR,+INC./97043/Charleston/66416",ACG,KLYH,BE-58 (BARON)|CE-525 (CITATION JET 1)|CE-525A (CITATION JET 2)|CE-550 (CITATION II)|CE-560-XL (CITATION EXCEL)|CE-560-XLS (CITATION XLS)
DIMONIM AIR ,Indonesia,Jakarta,2,8,medium,pending,,62 213 102 317,"JL. CIDURIAN NO. 6 CIKINI, CENTRAL JAKARTA, Indonesia, Email:",https://www.aircharterguide.com/Operator_Info/DIMONIM+AIR+/100903/Jakarta/71670,ACG,WIHH,AS-350B-2 (EUROCOPTER)|CE-208B (GRAND CARAVAN)|MI-171|PAC 750 XL (XSTOL)
DIX AVIATION LLC,United States,South Boston,1,2,medium,pending,,336-514-2724,"1145 TUCK AIRPORT ROAD, SOUTH BOSTON, VA, United States, Email:",https://www.aircharterguide.com/Operator_Info/DIX+AVIATION+LLC/100963/South+Boston/71735,ACG,W78 ,177B|BE-A36 (BONANZA)
DREAM FLY TAXI AEREO,Brazil,Sao Paulo,2,4,medium,pending,https://dreamfly.com.br/,55 11 2089 0729,"AVENIDA OLAVO FONTOURA - SETOR E - LOTE 6, HANGAR CASP SANTANA, SAO PAULO, Brazil",https://www.aircharterguide.com/Operator_Info/DREAM+FLY+TAXI+AEREO/100553/Sao+Paulo/71243,ACG,SBSP,AS-350B-3 (EUROCOPTER)|BE-C90 (KING AIR)|CE-208B (GRAND CARAVAN)|R-44
DUX EXPRESS TRANSPORTES AEREOS S.A.,Brazil,Sao Paulo,1,2,medium,pending,https://www.voeduxexpress.com/,+5513996521840; +551758054664; +552432436458; +552774789060; +552845059166; +553429499784; +553454796550; +553720235715; +553747709543; +553875665149; +554126610591; +554157208933; +554448697960; +555155408788; +556239890302; +556943219506; +556972518699; +557524709363; +557738270746; +557930561586; +557976164194; +558148066169; +558424424925; +559005925984; +559244929497; +559522522881; +559649123909; +559928115205; 55 11-4858-0691,"ALAMEDA VICENTE PINZON, 51, VILA OLIMPIA, SAO PAULO, Brazil",https://www.aircharterguide.com/Operator_Info/DUX+EXPRESS+TRANSPORTES+AEREOS+S.A./100783/Sao+Paulo/71535,ACG,SBSP,CE-208B (GRAND CARAVAN)
ENTERPRISE AIRLINES,Canada,Oshawa,1,1,medium,pending,,905-721-0054,"OSHAWA MUNL. ARPT., 1190 KEITH ROSS DRIVE, OSHAWA, ON, Canada",https://www.aircharterguide.com/Operator_Info/ENTERPRISE+AIRLINES/1218/Oshawa/1316,ACG,CYOO,DC-3
FLEET AIR INTERNATIONAL,Hungary,Budapest,10,14,high,pending,https://fleetair.eu/,36 1-445-3979,"VECSES FO. UT 218, BUDAPEST, Hungary, Email:",https://www.aircharterguide.com/Operator_Info/FLEET+AIR+INTERNATIONAL/100191/Budapest/70813,ACG,LHBP,AS-ATR42-320|AS-ATR72|AS-ATR72-200|AS-ATR72-202|ATR 42-320(F)|ATR 72-201(F)|ATR 72-202(F)
FLITEACCESS LLC,United States,Louisville,1,6,medium,pending,,502-991-2540,"914 LILY CREEK ROAD, SUITE 201, LOUISVILLE, KY, United States",https://www.aircharterguide.com/Operator_Info/FLITEACCESS+LLC/98199/Louisville/67805,ACG,KSDF,CE-525B (CITATION JET 3)|CE-550 (CITATION II)|CE-750 (CITATION X)
"FLORIDA AEROCHARTER, INC.",United States,Key West,3,3,high,pending,,305-923-4033,"3471 S. ROOSEVELT BLVD, KEY WEST, FL, United States, Email:","https://www.aircharterguide.com/Operator_Info/FLORIDA+AEROCHARTER,+INC./98544/Key+West/68259",ACG,KEYW,BN-2T (TURBINE ISLANDER)|P68C
FLY 7 EXECUTIVE AVIATION SA,Germany,Zweibrucken,4,30,high,pending,,41 21 552 2110,"AVENUE DU GREY 117, LAUSANNE, Switzerland, Email:",https://www.aircharterguide.com/Operator_Info/FLY+7+EXECUTIVE+AVIATION+SA/98694/Zweibrucken/68444,ACG,EDRZ,PC-12 (PILATUS)|PC-12/47E|PC-12NG|PC-24|SR22T
